00:08:57.700 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:08:57.715 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
00:08:57.993 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
00:08:57.997 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:08:57.997 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:08:57.997 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
00:08:58.045 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:08:58.045 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 622 ms
00:08:58.113 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
00:08:58.368 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
00:08:58.722 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
00:08:58.821 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
00:08:58.822 febs [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
00:08:58.829 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
00:10:33.478 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on 192.168.88.198 with PID 27145 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
00:10:33.479 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
00:10:33.822 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:10:33.823 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:10:33.840 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
00:10:34.126 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
00:10:34.130 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:10:34.130 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:10:34.130 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
00:10:34.176 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:10:34.176 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 665 ms
00:10:34.239 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
00:10:34.493 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
00:10:34.850 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
00:10:34.943 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
00:10:34.944 febs [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
00:10:34.951 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
00:12:18.238 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on 192.168.88.198 with PID 27655 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
00:12:18.239 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
00:12:18.576 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:12:18.577 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:12:18.592 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
00:12:18.836 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
00:12:18.839 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:12:18.839 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:12:18.840 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
00:12:18.881 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:12:18.881 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 608 ms
00:12:18.942 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
00:12:19.207 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
00:12:19.578 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
00:12:19.858 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
00:12:19.859 febs [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
00:12:19.866 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
09:41:42.691 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 33470 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
09:41:42.692 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
09:41:43.012 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
09:41:43.012 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:41:43.028 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
09:41:43.276 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
09:41:43.280 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
09:41:43.280 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:41:43.280 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
09:41:43.325 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:41:43.325 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 598 ms
09:41:43.388 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
09:41:43.631 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
09:41:44.014 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
09:41:44.286 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
09:41:44.287 febs [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
09:41:44.294 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
09:49:07.723 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 35360 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
09:49:07.725 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
09:49:08.059 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
09:49:08.059 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:49:08.075 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
09:49:08.327 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
09:49:08.331 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
09:49:08.331 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:49:08.332 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
09:49:08.380 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:49:08.380 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 619 ms
09:49:08.455 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
09:49:08.837 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
09:49:09.090 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
09:49:09.477 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
09:49:09.484 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
09:49:09.490 febs [main] INFO  org.feichai.FeichaiApplication - Started FeichaiApplication in 1.982 seconds (JVM running for 2.322)
09:49:15.067 febs [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:27:35.590 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 15057 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
17:27:35.591 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
17:27:35.910 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
17:27:35.911 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:27:35.929 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
17:27:36.194 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
17:27:36.197 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
17:27:36.197 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:27:36.197 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
17:27:36.242 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:27:36.242 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 614 ms
17:27:36.312 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
17:27:36.565 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:27:36.832 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
17:27:37.299 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
17:27:37.307 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
17:27:37.312 febs [main] INFO  org.feichai.FeichaiApplication - Started FeichaiApplication in 1.919 seconds (JVM running for 2.191)
17:27:41.504 febs [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:28:51.977 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - Starting UserServiceImplTest using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 15277 (started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
17:28:51.979 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - The following 1 profile is active: "dev"
17:28:52.313 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
17:28:52.314 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:28:52.334 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
17:28:52.612 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
17:28:52.946 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:28:53.398 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
17:28:53.987 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - Started UserServiceImplTest in 2.184 seconds (JVM running for 2.604)
17:28:54.022 febs [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:29:37.399 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - Starting UserServiceImplTest using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 15404 (started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
17:29:37.399 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - The following 1 profile is active: "dev"
17:29:37.715 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
17:29:37.717 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:29:37.732 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
17:29:37.982 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
17:29:38.322 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:29:38.750 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
17:29:39.317 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - Started UserServiceImplTest in 2.087 seconds (JVM running for 2.472)
17:29:39.527 febs [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:34:41.525 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - Starting UserServiceImplTest using Java 18.0.2.1 on gaomugongdeMacBook-Pro-2.local with PID 16950 (started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
17:34:41.526 febs [main] INFO  o.f.s.s.impl.UserServiceImplTest - The following 1 profile is active: "dev"
17:34:41.871 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
17:34:41.872 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:34:41.892 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
17:34:42.147 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
